first_name,last_name,email,decimal
John,Doe,john-doe@bogusemail.com,1.25
Mary,Smith-Robinson,maryjacobs@bogusemail.com,1.25
Dave,Smith,davesmith@bogusemail.com,1.25
Jane,Stuart,janestuart@bogusemail.com,1.25
Tom,Wright,tomwright@bogusemail.com,1.25
Steve,Robinson,steverobinson@bogusemail.com,1.25
Nicole,Jacobs,nicolejacobs@bogusemail.com,1.25
Jane,Wright,janewright@bogusemail.com,1.25
Jane,Doe,janedoe@bogusemail.com,1.25
Kurt,Wright,kurtwright@bogusemail.com,1.25
Kurt,Robinson,kurtrobinson@bogusemail.com,1.25
Jane,Jenkins,janejenkins@bogusemail.com,1.25
Neil,Robinson,neilrobinson@bogusemail.com,1.25
Tom,Patterson,tompatterson@bogusemail.com,1.25
Sam,Jenkins,samjenkins@bogusemail.com,1.25
Steve,Stuart,stevestuart@bogusemail.com,1.25
Maggie,Patterson,maggiepatterson@bogusemail.com,1.25
Maggie,Stuart,maggiestuart@bogusemail.com,1.25
Jane,Doe,janedoe@bogusemail.com,1.25
Steve,Patterson,stevepatterson@bogusemail.com,1.25
Dave,Smith,davesmith@bogusemail.com,1.25
Sam,Wilks,samwilks@bogusemail.com,1.25
Kurt,Jefferson,kurtjefferson@bogusemail.com,1.25
Sam,Stuart,samstuart@bogusemail.com,1.25
Jane,Stuart,janestuart@bogusemail.com,1.25
Dave,Davis,davedavis@bogusemail.com,1.25
Sam,Patterson,sampatterson@bogusemail.com,1.25
Tom,Jefferson,tomjefferson@bogusemail.com,1.25
Jane,Stuart,janestuart@bogusemail.com,1.25
Maggie,Jefferson,maggiejefferson@bogusemail.com,1.25
Mary,Wilks,marywilks@bogusemail.com,1.25
Neil,Patterson,neilpatterson@bogusemail.com,1.25
Corey,Davis,coreydavis@bogusemail.com,1.25
Steve,Jacobs,stevejacobs@bogusemail.com,1.25
Jane,Jenkins,janejenkins@bogusemail.com,1.25
John,Jacobs,johnjacobs@bogusemail.com,1.25
Neil,Smith,neilsmith@bogusemail.com,1.25
Corey,Wilks,coreywilks@bogusemail.com,1.25
Corey,Smith,coreysmith@bogusemail.com,1.25
Mary,Patterson,marypatterson@bogusemail.com,1.25
Jane,Stuart,janestuart@bogusemail.com,1.25
Travis,Arnold,travisarnold@bogusemail.com,1.25
John,Robinson,johnrobinson@bogusemail.com,1.25
Travis,Arnold,travisarnold@bogusemail.com,1.25
,1.25
